"name_lab","t_since_y1","avg_pubNo_5y","max_pubNo_5y","prop_review","n_community","clustering_coef","domain_diversity","prop_south_asia","prop_west_asia","prop_eastern_europe","prop_thailand","prop_southeast_asia"
"TH_072",16.0821917808219,2.4,6,0.0833333333333333,4,0.58695652173913,3.25162916738782,0,0,0,0.935483870967742,0
"TH_073",21.4794520547945,4.8,6,0,4,0.492116182572614,3.68456081428629,0,0,0,0.807692307692308,0
"TH_074",28.6301369863014,3,4,0,2,0.792103639728563,3.05656476213095,0,0,0,0.857142857142857,0
"TH_075",10.6301369863014,0.8,2,0,4,0.710622710622711,2,0,0,0,0.954545454545455,0
"TH_076",12.9041095890411,3.2,6,0,6,0.613417390270013,3.15563906222957,0,0,0,0.705882352941177,0.0420168067226891
"TH_077",13.1698630136986,1.8,3,0,4,0.695772695772696,2.50325833477565,0,0,0,0.689655172413793,0.0344827586206897
"TH_078",6.71506849315069,2.2,4,0.0909090909090909,6,0.664944013781223,2.84535093662244,0,0,0,0.717948717948718,0.0256410256410256
"TH_079",8.06849315068493,0.8,1,0,2,1,2,0,0,0,1,0
"TH_080",18.0821917808219,5.4,11,0.555555555555556,4,0.454622850332028,3.11326968951511,0.032258064516129,0,0,0.725806451612903,0.032258064516129
"TH_081",12.0821917808219,2.6,7,0.461538461538462,5,0.51063829787234,2.71929452566698,0.0384615384615385,0,0,0.961538461538462,0
"TH_082",17.2109589041096,3,7,0.333333333333333,3,0.577930174563591,2.61057724333164,0,0,0,1,0
"TH_083",7.16164383561644,2.6,5,0.538461538461538,5,0.514116874589626,2.46967048737186,0,0,0,1,0
"TH_084",19.6301369863014,1.2,3,0.5,3,0.71830985915493,1.79248125036058,0,0,0,1,0
"TH_085",35.0821917808219,0.2,1,1,2,1,0,0,0,0,0.2,0
"TH_086",16.7150684931507,2.8,6,0,7,0.68212362950446,2.54952345959783,0.0217391304347826,0,0,0.706521739130435,0
"TH_087",13.2246575342466,12.8,23,0.015625,19,0.229443918081772,4.15992783761159,0,0,0,0.422712933753943,0.0441640378548896
"TH_088",18.3780821917808,13.6,22,0.0147058823529412,15,0.230238102378025,4.35330835076341,0,0,0,0.442244224422442,0.0528052805280528
"TH_089",20.6301369863014,5.2,9,0,9,0.516083605099318,4.23890125660263,0,0,0,0.862745098039216,0.00980392156862745
"TH_090",6.08219178082192,2.6,5,0,5,0.543508527671424,3.08505510275648,0,0,0,0.918367346938776,0
"TH_091",18.0438356164384,1.2,3,0,3,0.591482649842271,2.25162916738782,0,0,0,0.954545454545455,0
"TH_092",10.9698630136986,1.8,3,0,3,0.707954545454546,2.41938194564637,0,0,0,0.961538461538462,0
"TH_093",7.84109589041096,0.4,2,0,2,0.89247311827957,1,0,0,0,1,0
"TH_094",36.0821917808219,8,10,0.05,5,0.374235906724021,3.00036851708276,0,0,0,0.763157894736842,0.0657894736842105
"TH_095",26.0821917808219,3.8,4,0.0526315789473684,5,0.426245683275777,3.11583409216322,0,0,0,0.717391304347826,0.0869565217391304
"TH_096",21.0821917808219,1.4,4,0,4,0.74931941923775,2.23592635062903,0,0,0,0.974358974358974,0
"TH_097",12.841095890411,4.8,11,0.0833333333333333,7,0.506986404833837,3.23469700253088,0,0,0,0.84,0
"TH_098",30.2958904109589,3.6,6,0.0555555555555556,3,0.784615384615385,3.14967344718674,0,0,0,0.725490196078431,0
"TH_099",18.8821917808219,2.2,4,0.0909090909090909,2,0.895522388059702,1.78992907531,0,0,0,1,0
"TH_100",1.16438356164384,1.6,6,0.375,4,0.657758385601309,2.15563906222957,0,0,0,0.916666666666667,0
"TH_101",17.6657534246575,5.4,10,0.666666666666667,5,0.658181209177692,2.90769109546246,0,0,0,0.932432432432432,0
"TH_102",22.4630136986301,3.8,7,0.368421052631579,5,0.646846846846847,3.53688672374217,0,0,0,1,0
"TH_103",8.12054794520548,1.4,4,0,5,0.607473650590866,2.52164063634332,0,0,0,0.828571428571429,0
"TH_104",7.08219178082192,4.2,10,0.0476190476190476,7,0.525383304940375,3.27280432733462,0,0,0,0.735849056603774,0.0660377358490566
"TH_105",30.7150684931507,11.4,14,0.31578947368421,9,0.340122377622378,4.12089336634941,0,0,0,0.412280701754386,0.0175438596491228
"TH_106",16.8547945205479,3.4,6,0,5,0.449406444318824,2.88954943086209,0,0,0,0.96969696969697,0.0303030303030303
"TH_107",28.0821917808219,1.6,6,0,3,0.635514018691589,2.75,0,0,0,1,0
"TH_108",10.5232876712329,2.8,6,0.0714285714285714,4,0.556424581005587,1.95021206491475,0,0,0,0.952380952380952,0.0476190476190476
"TH_109",38.8821917808219,1.8,3,0,5,0.626168224299065,2.64160416786859,0,0,0,0.764705882352941,0.0882352941176471
"TH_110",14.6027397260274,1.8,3,0,4,0.613219094247246,2.41938194564637,0,0,0,0.944444444444444,0.0555555555555556
"TH_111",23.0821917808219,4.8,12,0,5,0.312638580931264,3.10538854220753,0.0416666666666667,0,0,0.625,0.333333333333333
"TH_112",10.3397260273973,1.8,3,0,4,0.586813186813187,2.64160416786859,0.111111111111111,0.166666666666667,0,0.722222222222222,0
